 Timestamp	SBPMU.SLPO_  	SBPMU.STPCLKO_  	SBPMU.CPUSTPO_  	SBPMU.NAP  	SBPMU.THRMTRIPI_  	SBPMU.THRM_ZI  	SBPMU.CPU2SB_PBEB  	vkActCVID_N[7:0]  	vkActRatio_N[7:0]  	Sample   
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       28
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       29
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       30
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       31
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       32
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       33
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       34
 91.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       35
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       36
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       37
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       38
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       39
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       40
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       41
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       42
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       43
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       44
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       45
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       46
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       47
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       48
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       49
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       50
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       51
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       52
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       53
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       54
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       55
 60.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       56
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       57
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       58
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       59
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       60
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       61
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       62
<08 750 us	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	       63
<52 500 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       64
472.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       65
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       66
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       67
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       68
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       69
  6.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       70
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       71
 22.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       72
192.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       73
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       74
 77.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       75
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       76
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       77
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       78
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       79
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       80
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       81
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       82
240.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       83
